YEAR,SEED,TEAM,ROUND,POINTS PER GAME,WIN % (CLOSE GAMES),AWAY WIN %,NEUTRAL WIN %,AWAY - NEUTRAL WIN %,SCORING MARGIN,B ADJ O RANK DIFFERENCE,B ADJ D RANK DIFFERENCE,TOV %,TOV % RANK,3PT %,3PT % DEFENSE,PLOT ID
2008,11,Kansas St.,32,,,,,,,,,20.8,156,,,3
2008,11,Saint Joseph's,64,,,,,,,,,19.3,58,,,3
2022,12,New Mexico St.,32,,,,,,,,,20.7,313,,,3
2021,12,Georgetown,64,,,,,,,,,21.7,307,,,3
2021,12,Winthrop,64,,,,,,,,,19.5,195,,,3
2016,12,Yale,32,,,,,,,,,20.1,294,,,3
2015,12,Stephen F. Austin,64,,,,,,,,,20.3,255,,,3
2015,12,Wyoming,64,,,,,,,,,18.7,136,,,3
2014,12,Xavier,68,,,,,,,,,18.7,199,,,3
2013,12,Oregon,16,,,,,,,,,21.3,250,,,3
2013,12,Akron,64,,,,,,,,,20.4,200,,,3
2013,12,California,32,,,,,,,,,18.8,106,,,3
2012,12,South Florida,32,,,,,,,,,22.8,299,,,3
2012,12,Harvard,64,,,,,,,,,20.5,185,,,3
2012,12,Long Beach St.,64,,,,,,,,,19,101,,,3
2012,12,California,68,,,,,,,,,18.4,60,,,3
2011,12,Memphis,64,,,,,,,,,21.9,271,,,3
2011,12,Clemson,64,,,,,,,,,20.4,192,,,3
2011,12,UAB,68,,,,,,,,,19,106,,,3
2011,12,Utah St.,64,,,,,,,,,18.4,76,,,3
2010,12,UTEP,64,,,,,,,,,18.6,82,,,3
2010,12,Cornell,16,,,,,,,,,18.5,72,,,3
2009,12,Western Kentucky,32,,,,,,,,,20.2,146,,,3
2009,12,Arizona,16,,,,,,,,,19.4,94,,,3
2009,12,Northern Iowa,64,,,,,,,,,18.4,51,,,3
2008,12,Villanova,16,,,,,,,,,20.4,129,,,3
2008,12,Western Kentucky,16,,,,,,,,,20.2,107,,,3
2008,12,Temple,64,,,,,,,,,19.1,51,,,3
2008,12,George Mason,64,,,,,,,,,18.7,41,,,3
2021,13,North Texas,32,,,,,,,,,20.4,249,,,3
2019,13,Saint Louis,64,,,,,,,,,19,209,,,3
2018,13,UNC Greensboro,64,,,,,,,,,19.8,270,,,3
2017,13,East Tennessee St.,64,,,,,,,,,20.6,305,,,3
2017,13,Bucknell,64,,,,,,,,,18.8,194,,,3
2016,13,Hawaii,32,,,,,,,,,18.4,195,,,3
2015,13,Valparaiso,64,,,,,,,,,19.1,162,,,3
2015,13,Harvard,64,,,,,,,,,18.7,129,,,3
2015,13,UC Irvine,64,,,,,,,,,18,96,,,3
2014,13,Manhattan,64,,,,,,,,,19.7,265,,,3
2014,13,New Mexico St.,64,,,,,,,,,18.8,209,,,3
2013,13,New Mexico St.,64,,,,,,,,,21.8,273,,,3
2013,13,Montana,64,,,,,,,,,18.9,113,,,3
2013,13,Boise St.,68,,,,,,,,,18.4,82,,,3
2012,13,New Mexico St.,64,,,,,,,,,20.7,199,,,3
2012,13,Ohio,16,,,,,,,,,19.6,136,,,3
2012,13,Montana,64,,,,,,,,,18.6,69,,,3
2011,13,Morehead St.,32,,,,,,,,,23.4,322,,,3
2011,13,Belmont,64,,,,,,,,,19.9,160,,,3
2011,13,Princeton,64,,,,,,,,,18.9,97,,,3
2011,13,Oakland,64,,,,,,,,,18.8,89,,,3
2010,13,Murray St.,32,,,,,,,,,21.4,229,,,3
2010,13,Wofford,64,,,,,,,,,18.2,60,,,3
2009,13,Akron,64,,,,,,,,,20.9,194,,,3
2009,13,Portland St.,64,,,,,,,,,19.9,124,,,3
2009,13,Mississippi St.,64,,,,,,,,,19.8,112,,,3
2009,13,Cleveland St.,32,,,,,,,,,19.3,90,,,3
2008,13,San Diego,32,,,,,,,,,21.5,195,,,3
2008,13,Winthrop,64,,,,,,,,,20,99,,,3
2008,13,Oral Roberts,64,,,,,,,,,19.4,61,,,3
2022,14,Montana St.,64,,,,,,,,,18.5,184,,,3
2022,14,Yale,64,,,,,,,,,18.3,170,,,3
2022,14,Longwood,64,,,,,,,,,18.2,158,,,3
2021,14,Morehead St.,64,,,,,,,,,22.9,332,,,3
2021,14,Abilene Christian,32,,,,,,,,,19.4,190,,,3
2019,14,Yale,64,,,,,,,,,18.1,143,,,3
2018,14,Stephen F. Austin,64,,,,,,,,,20.8,313,,,3
2018,14,Wright St.,64,,,,,,,,,18.6,179,,,3
2017,14,New Mexico St.,64,,,,,,,,,19.7,253,,,3
2017,14,Florida Gulf Coast,64,,,,,,,,,18.1,135,,,3
2017,14,Kent St.,64,,,,,,,,,18.1,135,,,3
2016,14,Buffalo,64,,,,,,,,,18.9,227,,,3
2016,14,Stephen F. Austin,32,,,,,,,,,18.2,181,,,3
2015,14,Northeastern,64,,,,,,,,,21.4,305,,,3
2015,14,UAB,32,,,,,,,,,20.4,255,,,3
2015,14,Albany,64,,,,,,,,,19,136,,,3
2014,14,Western Michigan,64,,,,,,,,,20.9,316,,,3
2014,14,Louisiana Lafayette,64,,,,,,,,,19.1,238,,,3
2013,14,Valparaiso,64,,,,,,,,,22,282,,,3
2013,14,Harvard,32,,,,,,,,,21.1,244,,,3
2013,14,Northwestern St.,64,,,,,,,,,19,120,,,3
2012,14,St. Bonaventure,64,,,,,,,,,21.5,249,,,3
2011,14,Saint Peter's,64,,,,,,,,,22.9,312,,,3
2011,14,Indiana St.,64,,,,,,,,,21.4,246,,,3
2011,14,Wofford,64,,,,,,,,,18,54,,,3
2010,14,Oakland,64,,,,,,,,,19.6,129,,,3
2010,14,Montana,64,,,,,,,,,19.1,100,,,3
2010,14,Sam Houston St.,64,,,,,,,,,18.9,97,,,3
2010,14,Ohio,32,,,,,,,,,18.1,55,,,3
2009,14,American,64,,,,,,,,,21.4,215,,,3
2009,14,Cornell,64,,,,,,,,,19.7,106,,,3
2009,14,Stephen F. Austin,64,,,,,,,,,18.2,40,,,3
2008,14,Georgia,64,,,,,,,,,21.8,209,,,3
2008,14,Boise St.,64,,,,,,,,,21,167,,,3
2008,14,Cornell,64,,,,,,,,,20,99,,,3
2008,14,Cal St. Fullerton,64,,,,,,,,,18.3,31,,,3
2022,15,Saint Peter's,8,,,,,,,,,20.8,317,,,3
2022,15,Jacksonville St.,64,,,,,,,,,20,283,,,3
2022,15,Delaware,64,,,,,,,,,18.4,178,,,3
2022,15,Cal St. Fullerton,64,,,,,,,,,18.1,147,,,3
2021,15,Iona,64,,,,,,,,,22.5,326,,,3
2021,15,Grand Canyon,64,,,,,,,,,20.4,249,,,3
2021,15,Cleveland St.,64,,,,,,,,,18.5,150,,,3
2019,15,Colgate,64,,,,,,,,,19.3,226,,,3
2019,15,Bradley,64,,,,,,,,,18.9,203,,,3
2018,15,Cal St. Fullerton,64,,,,,,,,,20.6,301,,,3
2018,15,Lipscomb,64,,,,,,,,,20.1,281,,,3
2017,15,Jacksonville St.,64,,,,,,,,,20.7,308,,,3
2017,15,Northern Kentucky,64,,,,,,,,,19,207,,,3
2017,15,North Dakota,64,,,,,,,,,18.7,188,,,3
2016,15,Weber St.,64,,,,,,,,,19.7,274,,,3
2016,15,UNC Asheville,64,,,,,,,,,18.6,209,,,3
2016,15,Cal St. Bakersfield,64,,,,,,,,,18.1,177,,,3
2015,15,New Mexico St.,64,,,,,,,,,21.9,322,,,3
2015,15,Belmont,64,,,,,,,,,20.3,232,,,3
2015,15,Texas Southern,64,,,,,,,,,19.9,212,,,3
2014,15,American,64,,,,,,,,,22.9,342,,,3
2014,15,Milwaukee,64,,,,,,,,,20,277,,,3
2013,15,Albany,64,,,,,,,,,21.2,247,,,3
2013,15,Florida Gulf Coast,16,,,,,,,,,20.9,230,,,3
2012,15,Norfolk St.,32,,,,,,,,,21.4,246,,,3
2012,15,Loyola MD,64,,,,,,,,,20.7,199,,,3
2012,15,Detroit,64,,,,,,,,,19.1,107,,,3
2011,15,Northern Colorado,64,,,,,,,,,21.8,265,,,3
2011,15,UC Santa Barbara,64,,,,,,,,,21.7,257,,,3
2011,15,LIU Brooklyn,64,,,,,,,,,20.4,192,,,3
2010,15,UC Santa Barbara,64,,,,,,,,,22.8,300,,,3
2010,15,Robert Morris,64,,,,,,,,,21.7,247,,,3
2010,15,North Texas,64,,,,,,,,,21.1,208,,,3
2010,15,Morgan St.,64,,,,,,,,,19.1,100,,,3
2009,15,Cal St. Northridge,64,,,,,,,,,24.4,319,,,3
2009,15,Robert Morris,64,,,,,,,,,22.8,281,,,3
2009,15,Morgan St.,64,,,,,,,,,19.8,112,,,3
2009,15,Binghamton,64,,,,,,,,,19.5,99,,,3
2008,15,American,64,,,,,,,,,22.1,226,,,3
2008,15,Belmont,64,,,,,,,,,20.4,129,,,3
2008,15,Austin Peay,64,,,,,,,,,18.5,34,,,3
2022,16,Texas Southern,64,,,,,,,,,21.4,328,,,3
2022,16,Norfolk St.,64,,,,,,,,,19.9,272,,,3
2022,16,Texas A&M CC,68,,,,,,,,,19.9,272,,,3
2022,16,Bryant,68,,,,,,,,,19.1,224,,,3
2021,16,Texas Southern,64,,,,,,,,,21.5,298,,,3
2021,16,Mount St. Mary's,68,,,,,,,,,20.3,243,,,3
2021,16,Drexel,64,,,,,,,,,19.6,204,,,3
2021,16,Hartford,64,,,,,,,,,19,175,,,3
2019,16,North Carolina Central,68,,,,,,,,,23,343,,,3
2019,16,Fairleigh Dickinson,64,,,,,,,,,19.4,234,,,3
2018,16,North Carolina Central,68,,,,,,,,,20.7,306,,,3
2018,16,LIU Brooklyn,68,,,,,,,,,19.4,244,,,3
2018,16,Radford,64,,,,,,,,,18.6,179,,,3
2017,16,New Orleans,68,,,,,,,,,23.8,349,,,3
2017,16,UC Davis,64,,,,,,,,,20.2,285,,,3
2017,16,Mount St. Mary's,64,,,,,,,,,19.2,223,,,3
2017,16,South Dakota St.,64,,,,,,,,,18.3,146,,,3
2016,16,Austin Peay,64,,,,,,,,,20.4,304,,,3
2016,16,Hampton,64,,,,,,,,,18.9,227,,,3
2015,16,Manhattan,68,,,,,,,,,21,296,,,3
2015,16,Hampton,64,,,,,,,,,20.5,268,,,3
2015,16,Robert Morris,64,,,,,,,,,20.5,261,,,3
2015,16,North Florida,68,,,,,,,,,18,96,,,3
2014,16,Coastal Carolina,64,,,,,,,,,20.4,298,,,3
2014,16,Albany,64,,,,,,,,,19.8,271,,,3
2014,16,Texas Southern,68,,,,,,,,,19.2,241,,,3
2014,16,Weber St.,64,,,,,,,,,19.1,238,,,3
2013,16,North Carolina A&T,64,,,,,,,,,22.5,301,,,3
2013,16,Western Kentucky,64,,,,,,,,,22.4,296,,,3
2013,16,LIU Brooklyn,68,,,,,,,,,20.3,194,,,3
2013,16,Liberty,68,,,,,,,,,19.9,165,,,3
2012,16,Western Kentucky,64,,,,,,,,,21.9,268,,,3
2012,16,LIU Brooklyn,64,,,,,,,,,21.5,249,,,3
2012,16,Mississippi Valley St.,68,,,,,,,,,20.6,189,,,3
2012,16,Vermont,64,,,,,,,,,19.4,125,,,3
2012,16,UNC Asheville,64,,,,,,,,,19.1,107,,,3
2011,16,Alabama St.,68,,,,,,,,,23.6,326,,,3
2011,16,UNC Asheville,64,,,,,,,,,21.4,246,,,3
2011,16,UTSA,64,,,,,,,,,19.6,139,,,3
2011,16,Boston University,64,,,,,,,,,19,106,,,3
2010,16,Arkansas Pine Bluff,64,,,,,,,,,24.5,331,,,3
2010,16,East Tennessee St.,64,,,,,,,,,21.2,219,,,3
2010,16,Vermont,64,,,,,,,,,20.7,185,,,3
2010,16,Lehigh,64,,,,,,,,,18.5,72,,,3
2010,16,Winthrop,68,,,,,,,,,18.1,55,,,3
2009,16,Radford,64,,,,,,,,,22.6,269,,,3
2009,16,Morehead St.,64,,,,,,,,,22,244,,,3
2009,16,Chattanooga,64,,,,,,,,,21.4,215,,,3
2009,16,Alabama St.,68,,,,,,,,,20.6,172,,,3
2009,16,East Tennessee St.,64,,,,,,,,,19.1,75,,,3
2008,16,UT Arlington,64,,,,,,,,,24.1,305,,,3
2008,16,Coppin St.,68,,,,,,,,,22.4,240,,,3
2008,16,Mississippi Valley St.,64,,,,,,,,,21.8,209,,,3
2008,16,Mount St. Mary's,64,,,,,,,,,20.9,160,,,3
2008,16,Portland St.,64,,,,,,,,,20.7,150,,,3
2019,1,Duke,8,,,,,,,,,,,30.2,29.3,4
2016,1,North Carolina,2,,,,,,,,,,,31.4,36,4
2022,2,Auburn,32,,,,,,,,,,,32,31.2,4
2009,2,Memphis,16,,,,,,,,,,,32,29.3,4
2012,2,Ohio St.,4,,,,,,,,,,,32.6,32.2,4
2013,3,Marquette,8,,,,,,,,,,,30.1,31.8,4
2022,3,Wisconsin,32,,,,,,,,,,,31.3,32.3,4
2022,3,Texas Tech,16,,,,,,,,,,,31.4,31.3,4
2019,3,LSU,16,,,,,,,,,,,32.3,34.1,4
2016,3,West Virginia,64,,,,,,,,,,,32.9,33.2,4
2015,4,Louisville,8,,,,,,,,,,,30.4,29.3,4
2022,4,Arkansas,8,,,,,,,,,,,30.7,32.8,4
2012,4,Louisville,4,,,,,,,,,,,31.1,30.8,4
2009,4,Wake Forest,64,,,,,,,,,,,31.8,30.2,4
2010,4,Purdue,16,,,,,,,,,,,31.9,35.7,4
2013,5,Oklahoma St.,64,,,,,,,,,,,31.6,32.2,4
2015,5,West Virginia,16,,,,,,,,,,,31.9,36.5,4
2014,5,Saint Louis,32,,,,,,,,,,,32,29.1,4
2013,5,UNLV,64,,,,,,,,,,,32.7,31.3,4
2022,6,Alabama,64,,,,,,,,,,,30.8,33.1,4
2015,6,Providence,64,,,,,,,,,,,31,33.3,4
2010,6,Tennessee,8,,,,,,,,,,,31.3,29.3,4
2022,6,LSU,64,,,,,,,,,,,31.9,28,4
2022,6,Texas,32,,,,,,,,,,,32.3,31.6,4
2014,6,Ohio St.,64,,,,,,,,,,,32.6,29.4,4
2011,6,St. John's,64,,,,,,,,,,,33,36.6,4
2013,7,Illinois,32,,,,,,,,,,,32.1,34.2,4
2009,7,Texas,32,,,,,,,,,,,32.1,34,4
2014,7,Texas,32,,,,,,,,,,,32.4,34.2,4
2013,7,San Diego St.,32,,,,,,,,,,,32.4,31.9,4
2018,7,Texas A&M,16,,,,,,,,,,,32.7,32.4,4
2012,7,Notre Dame,64,,,,,,,,,,,32.9,31,4
2011,7,UCLA,32,,,,,,,,,,,32.9,34.2,4
2019,8,VCU,64,,,,,,,,,,,30.7,27.6,4
2021,8,North Carolina,64,,,,,,,,,,,31.7,34.4,4
2014,8,Colorado,64,,,,,,,,,,,32,35.7,4
2015,8,San Diego St.,32,,,,,,,,,,,32.1,30.6,4
2014,8,Kentucky,2,,,,,,,,,,,32.5,31.7,4
2016,8,Saint Joseph's,32,,,,,,,,,,,32.7,31,4
2019,8,Syracuse,64,,,,,,,,,,,33,32.3,4
2012,9,Alabama,64,,,,,,,,,,,28.5,28.3,4
2022,9,TCU,32,,,,,,,,,,,30.3,31.5,4
2011,9,Tennessee,64,,,,,,,,,,,30.4,33.2,4
2022,9,Creighton,32,,,,,,,,,,,30.7,31.7,4
2010,9,Wake Forest,32,,,,,,,,,,,31.3,28.9,4
2009,9,Tennessee,64,,,,,,,,,,,31.4,33.7,4
2021,9,Missouri,64,,,,,,,,,,,32,32.7,4
2016,9,Providence,32,,,,,,,,,,,32.1,32.1,4
2018,9,Alabama,32,,,,,,,,,,,32.5,31.9,4
2011,9,Old Dominion,64,,,,,,,,,,,32.9,37,4
2012,10,West Virginia,64,,,,,,,,,,,30.2,31.7,4
2021,10,Rutgers,32,,,,,,,,,,,31.1,32.1,4
2010,10,Florida,64,,,,,,,,,,,31.3,32.1,4
2018,10,Texas,64,,,,,,,,,,,31.5,33,4
2013,10,Cincinnati,64,,,,,,,,,,,31.7,30,4
2019,10,Minnesota,32,,,,,,,,,,,32.1,33.9,4
2019,10,Seton Hall,64,,,,,,,,,,,32.4,33.6,4
2013,10,Oklahoma,64,,,,,,,,,,,32.6,32.7,4
2021,10,VCU,64,,,,,,,,,,,32.9,30.5,4
2009,10,USC,32,,,,,,,,,,,32.9,33.7,4
2011,10,Florida St.,16,,,,,,,,,,,33,30.1,4
2009,10,Minnesota,64,,,,,,,,,,,33,34.9,4
2010,11,Old Dominion,32,,,,,,,,,,,31.6,30,4
2021,11,Michigan St.,68,,,,,,,,,,,32,31.5,4
2022,11,Iowa St.,16,,,,,,,,,,,32.1,29.6,4
2018,11,Syracuse,16,,,,,,,,,,,32.1,32.8,4
2010,11,San Diego St.,64,,,,,,,,,,,32.3,35.8,4
2008,11,Kansas St.,32,,,,,,,,,,,32.4,36.8,4
2010,11,Washington,16,,,,,,,,,,,32.5,31.2,4
2013,11,Minnesota,32,,,,,,,,,,,32.6,33.9,4
2012,11,Texas,64,,,,,,,,,,,32.7,35.3,4
2016,11,Wichita St.,32,,,,,,,,,,,32.9,32.7,4
2016,11,Tulsa,68,,,,,,,,,,,32.9,36.3,4
2014,11,Tennessee,16,,,,,,,,,,,33,34,4
2014,12,North Carolina St.,64,,,,,,,,,,,30.3,32,4
2013,12,California,32,,,,,,,,,,,30.4,33.6,4
2012,12,South Florida,32,,,,,,,,,,,31.1,30.6,4
2015,12,Wyoming,64,,,,,,,,,,,32.3,34.4,4
2013,12,Oregon,16,,,,,,,,,,,32.3,34.3,4
2011,12,Memphis,64,,,,,,,,,,,32.7,33.2,4
2022,12,New Mexico St.,32,,,,,,,,,,,33,30,4
2022,12,Wyoming,68,,,,,,,,,,,33,30.3,4
2013,12,Mississippi,32,,,,,,,,,,,33,31.3,4
2021,13,UNC Greensboro,64,,,,,,,,,,,30,31.9,4
2019,13,Saint Louis,64,,,,,,,,,,,30.8,31.3,4
2009,13,Cleveland St.,32,,,,,,,,,,,31,32.8,4
2010,13,Siena,64,,,,,,,,,,,32.3,32.9,4
2014,13,Tulsa,64,,,,,,,,,,,32.5,35.3,4
2013,13,New Mexico St.,64,,,,,,,,,,,32.6,33.8,4
2016,13,Hawaii,32,,,,,,,,,,,32.8,31.3,4
2012,13,New Mexico St.,64,,,,,,,,,,,32.8,32,4
2009,13,Akron,64,,,,,,,,,,,32.9,29.3,4
2017,14,Kent St.,64,,,,,,,,,,,31.4,35,4
2013,14,Northwestern St.,64,,,,,,,,,,,31.4,34,4
2015,14,Georgia St.,32,,,,,,,,,,,31.9,32.6,4
2009,14,Stephen F. Austin,64,,,,,,,,,,,31.9,28.6,4
2010,14,Oakland,64,,,,,,,,,,,32,33.9,4
2014,14,North Carolina Central,64,,,,,,,,,,,32.6,30.3,4
2022,14,Yale,64,,,,,,,,,,,32.9,30.4,4
2008,14,Georgia,64,,,,,,,,,,,32.9,30.8,4
2014,14,Western Michigan,64,,,,,,,,,,,33,31.2,4
2012,15,Detroit,64,,,,,,,,,,,29.6,37,4
2012,15,Norfolk St.,32,,,,,,,,,,,31.4,30.5,4
2021,15,Cleveland St.,64,,,,,,,,,,,31.9,30.8,4
2015,15,Texas Southern,64,,,,,,,,,,,32,34.2,4
2021,15,Grand Canyon,64,,,,,,,,,,,32.2,29.7,4
2016,15,UNC Asheville,64,,,,,,,,,,,32.2,28.8,4
2018,15,Lipscomb,64,,,,,,,,,,,33,33.5,4
2014,15,Milwaukee,64,,,,,,,,,,,33,31.6,4
2010,16,Winthrop,68,,,,,,,,,,,26.5,29.7,4
2021,16,Texas Southern,64,,,,,,,,,,,27.7,32.4,4
2011,16,Alabama St.,68,,,,,,,,,,,29.2,36.1,4
2017,16,Texas Southern,64,,,,,,,,,,,29.7,32.4,4
2013,16,North Carolina A&T,64,,,,,,,,,,,30.2,31.8,4
2010,16,Arkansas Pine Bluff,64,,,,,,,,,,,30.2,33.1,4
2015,16,Hampton,64,,,,,,,,,,,30.4,34.4,4
2022,16,Bryant,68,,,,,,,,,,,30.7,32.1,4
2012,16,Western Kentucky,64,,,,,,,,,,,30.8,33.3,4
2016,16,Hampton,64,,,,,,,,,,,30.9,33.2,4
2019,16,North Carolina Central,68,,,,,,,,,,,31.1,31.6,4
2017,16,New Orleans,68,,,,,,,,,,,31.1,31.2,4
2010,16,East Tennessee St.,64,,,,,,,,,,,31.4,32.6,4
2019,16,Prairie View A&M,68,,,,,,,,,,,31.5,30.8,4
2022,16,Texas A&M CC,68,,,,,,,,,,,31.6,31.5,4
2022,16,Texas Southern,64,,,,,,,,,,,31.7,29.5,4
2014,16,Coastal Carolina,64,,,,,,,,,,,32,32.1,4
2011,16,Hampton,64,,,,,,,,,,,32.1,31.2,4
2010,16,Vermont,64,,,,,,,,,,,32.1,31.5,4
2022,16,Georgia St.,64,,,,,,,,,,,32.3,37.9,4
2008,16,Coppin St.,68,,,,,,,,,,,32.3,35.2,4
2021,16,Appalachian St.,68,,,,,,,,,,,32.6,33.5,4
2021,16,Hartford,64,,,,,,,,,,,32.7,28.7,4
2016,16,Holy Cross,64,,,,,,,,,,,32.7,36.5,4
2009,16,Morehead St.,64,,,,,,,,,,,32.7,35.7,4
2012,16,Mississippi Valley St.,68,,,,,,,,,,,32.8,38.8,4
2011,16,UNC Asheville,64,,,,,,,,,,,32.9,34,4
2009,16,Alabama St.,68,,,,,,,,,,,32.9,29.8,4
2022,16,Wright St.,64,,,,,,,,,,,33,33.7,4
